"Month","Seattle","Charlotte","Houston","Jacksonville","NewYork","Phoenix","Caquetania","Chicago","Indianapolis","Philadelphia"
"M01","0.118","0.090","0.102","0.099","0.169","0.026","0.035","0.040","0.058","0.146"
"M02","0.188","0.108","0.024","0.119","0.073","0.000","0.030","0.009","0.048","0.084"
"M03","0.144","0.071","0.205","0.074","0.152","0.011","0.028","0.015","0.114","0.178"
"M04","0.068","0.205","0.203","0.089","0.069","0.006","0.004","0.098","0.133","0.119"
"M05","0.019","0.010","0.457","0.035","0.060","0.038","0.030","0.133","0.079","0.038"
"M06","0.008","0.091","0.373","0.211","0.158","0.008","0.000","0.146","0.279","0.296"
"M07","0.025","0.141","0.174","0.089","0.180","0.002","0.000","0.167","0.100","0.139"
"M08","0.058","0.121","0.040","0.098","0.073","0.038","0.001","0.299","0.095","0.115"
"M09","0.074","0.145","0.129","0.327","0.040","0.170","0.000","0.083","0.084","0.056"
"M10","0.218","0.044","0.111","0.060","0.186","0.004","0.008","0.117","0.102","0.082"
"M11","0.161","0.126","0.113","0.132","0.150","0.000","0.016","0.042","0.093","0.136"
"M12","0.155","0.083","0.181","0.121","0.195","0.029","0.125","0.025","0.082","0.105"
